oid,description
.1.3.6.1.4.1.318.1.1.12.1.10.0,Getting this OID will return the number of circuit breakers supported by the device This is the same as the number of banks of outlets 0 will be returned if the unit has no phase breakers
.1.3.6.1.4.1.318.1.1.12.1.11.0,Getting this OID will return rating of the circuit breakers on the device in Amps if it has any
.1.3.6.1.4.1.318.1.1.12.1.12.0,Getting this OID will return the intended physical orientation of the device OrientHorizonatal1 indicates Horizontal OrientVertical2 indicates Vertical
.1.3.6.1.4.1.318.1.1.12.1.13.0,Getting this OID will return outlet layout for the device seqPhaseToNeutral1 indicates outlet layout as follows 11N22N33N41N52N seqPhaseToPhase2 indicates outlet layout as follows 112223331412523 seqPhToNeu21PhToPh3 indicates outlet layout as follows 11N22N213N221223232431 seqPhToPhGrouped4 indicates outlet layout as follows For AP8xxx SKUs Group 112 Group 223 Group 331 For AP7xxx SKUs Group 131 Group 223 Group 312 seqPhToNGrouped5 indicates outlet layout as follows This unit has 3 outlet groups Group 11N Group 22N Group 33N seqPToN1516PToPGrouped6 indicates outlet layout as follows This unit has 4 outlet groups Group 1 Outlets 11412 Group 2 Outlets 15161N Group 323 Group 431 seqPhToPh2xGrouped7 indicates outlet layout as follows This unit has 6 outlet groups Group 112 Group 212 Group 323 Group 423 Group 531 Group 631 seqPhToN2xGrouped8 indicates outlet layout as follows This unit has 6 outlet groups Group 11N Group 21N Group 32N Group 42N Group 53N Group 63N seqNotApplicable9 Outlet layout does not affect any of the user interfaces These SKUs may report seqNotApplicable9 if there is not an exact outlet layout match available Only AP7xxx AP8xxx SKUs support this feature Product which does not support this feature will respond to this OID with a value of 1
.1.3.6.1.4.1.318.1.1.12.1.14.0,Getting this OID will return the intended physical orientation of the SevenSegment Display or LCD Normal1 indicates Normal Reverse2indicates UpsideDown
.1.3.6.1.4.1.318.1.1.12.1.15.0,GettingSetting this OID will returnset the Line to Line Voltage This OID defaults to the nominal input line voltage in volts AC This setting is used to calculate total power and must be configured for best accuracy Only AP7xxx SKUs support this feature The valid range is between 0V to 440V
.1.3.6.1.4.1.318.1.1.12.1.16.0,Getting this OID will return the Power in Watts
.1.3.6.1.4.1.318.1.1.12.1.17.0,Gettingsetting this OID will returnset the Power Factor in thousandths 1000 is power factor of 1 This OID is only writable for AP7xxx SKUs Valid range is from 0 to 1000
.1.3.6.1.4.1.318.1.1.12.1.18.0,Getting this OID will return the Power in VA
.1.3.6.1.4.1.318.1.1.12.1.19.0,GettingSetting this OID will returnset the Line to Neutral Voltage This OID defaults to the nominal line to neutral voltage in volts AC This setting is used to calculate total power and must be configured for best accuracy This OID applies only to AP7823 For all other models the OID is fixed at 0 The valid range is between 0V to 440V
.1.3.6.1.4.1.318.1.1.12.2.1.1.0,Getting this OID will return the maximum rated power that each phase of the Rack PDU can provide It is represented in Amps 0 will be returned if the unit is banked
.1.3.6.1.4.1.318.1.1.12.2.1.2.0,The number of phases available with this Rack PDU
.1.3.6.1.4.1.318.1.1.12.2.1.3.0,Getting this OID will return the maximum rated power that a bank of the Rack PDU can provide It is represented in Amps 0 will be returned if the device does not have any banks
.1.3.6.1.4.1.318.1.1.12.2.1.4.0,The number of banks of outlets available with this Rack PDU A bank of outlets has a unique circuit breaker for a subset of the total number of outlets on the rPDU 0 will be returned if the unit has no banks
.1.3.6.1.4.1.318.1.1.12.2.1.5.0,The size of the Bank Table
.1.3.6.1.4.1.318.1.1.12.2.1.7.0,The size of the Outlet Table
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.1.1,The index to the Outlet Monitored Rack PDU Max Outlet Load entry
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.1.2,The index to the Outlet Monitored Rack PDU Max Outlet Load entry
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.1.3,The index to the Outlet Monitored Rack PDU Max Outlet Load entry
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.1.4,The index to the Outlet Monitored Rack PDU Max Outlet Load entry
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.1.5,The index to the Outlet Monitored Rack PDU Max Outlet Load entry
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.1.6,The index to the Outlet Monitored Rack PDU Max Outlet Load entry
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.1.7,The index to the Outlet Monitored Rack PDU Max Outlet Load entry
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.1.8,The index to the Outlet Monitored Rack PDU Max Outlet Load entry
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.1.9,The index to the Outlet Monitored Rack PDU Max Outlet Load entry
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.1.10,The index to the Outlet Monitored Rack PDU Max Outlet Load entry
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.1.11,The index to the Outlet Monitored Rack PDU Max Outlet Load entry
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.1.12,The index to the Outlet Monitored Rack PDU Max Outlet Load entry
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.1.13,The index to the Outlet Monitored Rack PDU Max Outlet Load entry
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.1.14,The index to the Outlet Monitored Rack PDU Max Outlet Load entry
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.1.15,The index to the Outlet Monitored Rack PDU Max Outlet Load entry
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.1.16,The index to the Outlet Monitored Rack PDU Max Outlet Load entry
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.1.17,The index to the Outlet Monitored Rack PDU Max Outlet Load entry
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.1.18,The index to the Outlet Monitored Rack PDU Max Outlet Load entry
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.1.19,The index to the Outlet Monitored Rack PDU Max Outlet Load entry
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.1.20,The index to the Outlet Monitored Rack PDU Max Outlet Load entry
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.1.21,The index to the Outlet Monitored Rack PDU Max Outlet Load entry
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.1.22,The index to the Outlet Monitored Rack PDU Max Outlet Load entry
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.1.23,The index to the Outlet Monitored Rack PDU Max Outlet Load entry
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.1.24,The index to the Outlet Monitored Rack PDU Max Outlet Load entry
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.2.1,Getting this OID will return the Outlet number
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.2.2,Getting this OID will return the Outlet number
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.2.3,Getting this OID will return the Outlet number
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.2.4,Getting this OID will return the Outlet number
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.2.5,Getting this OID will return the Outlet number
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.2.6,Getting this OID will return the Outlet number
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.2.7,Getting this OID will return the Outlet number
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.2.8,Getting this OID will return the Outlet number
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.2.9,Getting this OID will return the Outlet number
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.2.10,Getting this OID will return the Outlet number
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.2.11,Getting this OID will return the Outlet number
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.2.12,Getting this OID will return the Outlet number
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.2.13,Getting this OID will return the Outlet number
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.2.14,Getting this OID will return the Outlet number
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.2.15,Getting this OID will return the Outlet number
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.2.16,Getting this OID will return the Outlet number
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.2.17,Getting this OID will return the Outlet number
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.2.18,Getting this OID will return the Outlet number
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.2.19,Getting this OID will return the Outlet number
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.2.20,Getting this OID will return the Outlet number
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.2.21,Getting this OID will return the Outlet number
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.2.22,Getting this OID will return the Outlet number
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.2.23,Getting this OID will return the Outlet number
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.2.24,Getting this OID will return the Outlet number
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.3.1,Getting this OID will return the maximum rated power that each Outlet of an Outlet Monitored Rack PDU can provide It is represented in Amps
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.3.2,Getting this OID will return the maximum rated power that each Outlet of an Outlet Monitored Rack PDU can provide It is represented in Amps
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.3.3,Getting this OID will return the maximum rated power that each Outlet of an Outlet Monitored Rack PDU can provide It is represented in Amps
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.3.4,Getting this OID will return the maximum rated power that each Outlet of an Outlet Monitored Rack PDU can provide It is represented in Amps
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.3.5,Getting this OID will return the maximum rated power that each Outlet of an Outlet Monitored Rack PDU can provide It is represented in Amps
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.3.6,Getting this OID will return the maximum rated power that each Outlet of an Outlet Monitored Rack PDU can provide It is represented in Amps
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.3.7,Getting this OID will return the maximum rated power that each Outlet of an Outlet Monitored Rack PDU can provide It is represented in Amps
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.3.8,Getting this OID will return the maximum rated power that each Outlet of an Outlet Monitored Rack PDU can provide It is represented in Amps
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.3.9,Getting this OID will return the maximum rated power that each Outlet of an Outlet Monitored Rack PDU can provide It is represented in Amps
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.3.10,Getting this OID will return the maximum rated power that each Outlet of an Outlet Monitored Rack PDU can provide It is represented in Amps
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.3.11,Getting this OID will return the maximum rated power that each Outlet of an Outlet Monitored Rack PDU can provide It is represented in Amps
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.3.12,Getting this OID will return the maximum rated power that each Outlet of an Outlet Monitored Rack PDU can provide It is represented in Amps
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.3.13,Getting this OID will return the maximum rated power that each Outlet of an Outlet Monitored Rack PDU can provide It is represented in Amps
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.3.14,Getting this OID will return the maximum rated power that each Outlet of an Outlet Monitored Rack PDU can provide It is represented in Amps
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.3.15,Getting this OID will return the maximum rated power that each Outlet of an Outlet Monitored Rack PDU can provide It is represented in Amps
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.3.16,Getting this OID will return the maximum rated power that each Outlet of an Outlet Monitored Rack PDU can provide It is represented in Amps
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.3.17,Getting this OID will return the maximum rated power that each Outlet of an Outlet Monitored Rack PDU can provide It is represented in Amps
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.3.18,Getting this OID will return the maximum rated power that each Outlet of an Outlet Monitored Rack PDU can provide It is represented in Amps
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.3.19,Getting this OID will return the maximum rated power that each Outlet of an Outlet Monitored Rack PDU can provide It is represented in Amps
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.3.20,Getting this OID will return the maximum rated power that each Outlet of an Outlet Monitored Rack PDU can provide It is represented in Amps
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.3.21,Getting this OID will return the maximum rated power that each Outlet of an Outlet Monitored Rack PDU can provide It is represented in Amps
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.3.22,Getting this OID will return the maximum rated power that each Outlet of an Outlet Monitored Rack PDU can provide It is represented in Amps
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.3.23,Getting this OID will return the maximum rated power that each Outlet of an Outlet Monitored Rack PDU can provide It is represented in Amps
.1.3.6.1.4.1.318.1.1.12.2.1.8.1.3.24,Getting this OID will return the maximum rated power that each Outlet of an Outlet Monitored Rack PDU can provide It is represented in Amps
.1.3.6.1.4.1.318.1.1.12.2.2.1.1.1.1,The index to the Rack PDU phase entry
.1.3.6.1.4.1.318.1.1.12.2.2.1.1.2.1,A threshold that indicates the power consumption of the load is nearing a low consumption condition It is represented in Amps A warning will be issued when the load is less than the threshold value A threshold value of 0 Amps effectively disables this warning Maximum value must be less than the value returned by the rPDULoadPhaseConfigNearOverloadThreshold OID
.1.3.6.1.4.1.318.1.1.12.2.2.1.1.3.1,A threshold that indicates the power consumption of the load is nearing an overload condition It is represented in Amps A warning will be issued when the load is greater than or equal to the threshold value Minimum value must be greater than the value returned by the rPDULoadPhaseConfigLowLoadThreshold OID Maximum value must be less than or equal to the value returned by the rPDULoadPhaseConfigOverloadThreshold OID
.1.3.6.1.4.1.318.1.1.12.2.2.1.1.4.1,A threshold that indicates the power consumption of the load has entered an overload condition It is represented in Amps A warning will be issued when the load is greater than or equal to the threshold value Minimum value must be greater than or equal to the value returned by the rPDULoadPhaseConfigNearOverloadThreshold OID Maximum value must be less than or equal to the value returned by the rPDULoadDevMaxPhaseLoad OID
.1.3.6.1.4.1.318.1.1.12.2.2.1.1.5.1,Getting this OID will return the current Phase Alarm
.1.3.6.1.4.1.318.1.1.12.2.3.1.1.1.1,The index to the Rack PDU phasebank entry All phase information will precede any bank information
.1.3.6.1.4.1.318.1.1.12.2.3.1.1.2.1,Getting this OID will return the phasebank load measured in tenths of Amps
.1.3.6.1.4.1.318.1.1.12.2.3.1.1.3.1,Getting this OID will return the phasebank load state phaseLoadNormal1 indicates that the phasebank is operating properly within the rPDULoadConfigLowLoadThreshold and rPDULoadConfigNearOverloadThreshold OID values phaseLoadLow2 indicates that the phasebank load has dropped below the rPDULoadConfigLowLoadThreshold OID value An SNMP trap will occur when this state is entered or cleared phaseLoadNearOverload3 indicates that the phasebank load is greater than or equal to the rPDULoadConfigNearOverloadThreshold OID value An SNMP trap will occur when this state is entered or cleared phaseLoadOverload4 indicates that the phasebank load is greater than or equal to the rPDULoadConfigOverloadThreshold OID value An SNMP trap will occur when this state is entered or cleared
.1.3.6.1.4.1.318.1.1.12.2.3.1.1.4.1,The phase number to which this record refers
.1.3.6.1.4.1.318.1.1.12.2.3.1.1.5.1,The bank number to which this record refers A value of 0 will be returned if any bank is not present or if it is phase related
.1.3.6.1.4.1.318.1.1.12.3.1.1.0,Setting this OID to immediateAllOn 2 will turn all outlets on immediately Setting this OID to immediateAllOff 3 will turn all outlets off immediately Setting this OID to immediateAllReboot 4 will reboot all outlets immediately Setting this OID to delayedAllOn 5 will turn all outlets on as defined by each outlets rPDUOutletConfigPowerOnTime OID value Setting this OID to delayedAllOff 6 will turn all outlets off as defined by each outlets rPDUOutletConfigPowerOffTime OID value Setting this OID to delayedAllReboot 7 will cause a delayedAllOff command to be performed Once all outlets are off the Switched Rack PDU will then delay the largest rPDUOutletConfigRebootDuration OID time and then perform a delayedAllOn command Setting this OID to cancelAllPendingCommands 8 will cause all pending commands on the Switched Rack PDU to be canceled Getting this OID will return the noCommandAll 1 value
.1.3.6.1.4.1.318.1.1.12.3.1.2.0,The amount of delay in seconds between when power is provided to the Switched Rack PDU and when the Switched Rack PDU provides basic master power to the outlets Allowed values are 1 never apply power automatically 0 apply power immediately 1 to 300 delay up to 300 seconds 5 minutes
.1.3.6.1.4.1.318.1.1.12.3.1.3.0,The number of controlled outlets on this Switched Rack PDU
.1.3.6.1.4.1.318.1.1.12.3.1.4.0,The total number of outlets on this Rack PDU
.1.3.6.1.4.1.318.1.1.12.3.1.5.0,The total number of monitored outlets on this Rack PDU
.1.3.6.1.4.1.318.1.1.12.3.2.1.1.1.1,The index to the Switched Rack PDU phase entry
.1.3.6.1.4.1.318.1.1.12.3.2.1.1.2.1,This OID controls the behavior of a Switched Rack PDU phase when an overload condition is possible and additional outlets are requested to be turned on Setting this OID to alwaysAllowTurnON 1 will always allow the outlets on the corresponding phase to turn on Setting this OID to restrictOnNearOverload 2 will not allow outlets on the corresponding phase to turn on if the rPDULoadConfigNearOverloadThreshold OID is exceeded Setting this OID to restrictOnOverload 3 will not allow outlets on the corresponding phase to turn on if the rPDULoadConfigOverloadThreshold OID is exceeded
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.1.1,The index to the outlet entry
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.1.2,The index to the outlet entry
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.1.3,The index to the outlet entry
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.1.4,The index to the outlet entry
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.1.5,The index to the outlet entry
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.1.6,The index to the outlet entry
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.1.7,The index to the outlet entry
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.1.8,The index to the outlet entry
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.1.9,The index to the outlet entry
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.1.10,The index to the outlet entry
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.1.11,The index to the outlet entry
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.1.12,The index to the outlet entry
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.1.13,The index to the outlet entry
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.1.14,The index to the outlet entry
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.1.15,The index to the outlet entry
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.1.16,The index to the outlet entry
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.1.17,The index to the outlet entry
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.1.18,The index to the outlet entry
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.1.19,The index to the outlet entry
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.1.20,The index to the outlet entry
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.1.21,The index to the outlet entry
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.1.22,The index to the outlet entry
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.1.23,The index to the outlet entry
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.1.24,The index to the outlet entry
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.2.1,The name of the outlet The maximum string size is device dependent An error will be returned if the set request exceeds the max size This OID is provided for informational purposes only
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.2.2,The name of the outlet The maximum string size is device dependent An error will be returned if the set request exceeds the max size This OID is provided for informational purposes only
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.2.3,The name of the outlet The maximum string size is device dependent An error will be returned if the set request exceeds the max size This OID is provided for informational purposes only
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.2.4,The name of the outlet The maximum string size is device dependent An error will be returned if the set request exceeds the max size This OID is provided for informational purposes only
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.2.5,The name of the outlet The maximum string size is device dependent An error will be returned if the set request exceeds the max size This OID is provided for informational purposes only
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.2.6,The name of the outlet The maximum string size is device dependent An error will be returned if the set request exceeds the max size This OID is provided for informational purposes only
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.2.7,The name of the outlet The maximum string size is device dependent An error will be returned if the set request exceeds the max size This OID is provided for informational purposes only
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.2.8,The name of the outlet The maximum string size is device dependent An error will be returned if the set request exceeds the max size This OID is provided for informational purposes only
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.2.9,The name of the outlet The maximum string size is device dependent An error will be returned if the set request exceeds the max size This OID is provided for informational purposes only
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.2.10,The name of the outlet The maximum string size is device dependent An error will be returned if the set request exceeds the max size This OID is provided for informational purposes only
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.2.11,The name of the outlet The maximum string size is device dependent An error will be returned if the set request exceeds the max size This OID is provided for informational purposes only
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.2.12,The name of the outlet The maximum string size is device dependent An error will be returned if the set request exceeds the max size This OID is provided for informational purposes only
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.2.13,The name of the outlet The maximum string size is device dependent An error will be returned if the set request exceeds the max size This OID is provided for informational purposes only
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.2.14,The name of the outlet The maximum string size is device dependent An error will be returned if the set request exceeds the max size This OID is provided for informational purposes only
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.2.15,The name of the outlet The maximum string size is device dependent An error will be returned if the set request exceeds the max size This OID is provided for informational purposes only
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.2.16,The name of the outlet The maximum string size is device dependent An error will be returned if the set request exceeds the max size This OID is provided for informational purposes only
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.2.17,The name of the outlet The maximum string size is device dependent An error will be returned if the set request exceeds the max size This OID is provided for informational purposes only
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.2.18,The name of the outlet The maximum string size is device dependent An error will be returned if the set request exceeds the max size This OID is provided for informational purposes only
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.2.19,The name of the outlet The maximum string size is device dependent An error will be returned if the set request exceeds the max size This OID is provided for informational purposes only
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.2.20,The name of the outlet The maximum string size is device dependent An error will be returned if the set request exceeds the max size This OID is provided for informational purposes only
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.2.21,The name of the outlet The maximum string size is device dependent An error will be returned if the set request exceeds the max size This OID is provided for informational purposes only
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.2.22,The name of the outlet The maximum string size is device dependent An error will be returned if the set request exceeds the max size This OID is provided for informational purposes only
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.2.23,The name of the outlet The maximum string size is device dependent An error will be returned if the set request exceeds the max size This OID is provided for informational purposes only
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.2.24,The name of the outlet The maximum string size is device dependent An error will be returned if the set request exceeds the max size This OID is provided for informational purposes only
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.3.1,The phases associated with this outlet For single phase devices this object will always return phase11 For 3phase devices this object will return phase1 1 phase2 2 or phase3 3 for outlets tied to a single phase For outlets tied to two phases this object will return phase12 4 for phases 1 and 2 phase23 5 for phases 2 and 3 and phase31 6 for phases 3 and 1
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.3.2,The phases associated with this outlet For single phase devices this object will always return phase11 For 3phase devices this object will return phase1 1 phase2 2 or phase3 3 for outlets tied to a single phase For outlets tied to two phases this object will return phase12 4 for phases 1 and 2 phase23 5 for phases 2 and 3 and phase31 6 for phases 3 and 1
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.3.3,The phases associated with this outlet For single phase devices this object will always return phase11 For 3phase devices this object will return phase1 1 phase2 2 or phase3 3 for outlets tied to a single phase For outlets tied to two phases this object will return phase12 4 for phases 1 and 2 phase23 5 for phases 2 and 3 and phase31 6 for phases 3 and 1
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.3.4,The phases associated with this outlet For single phase devices this object will always return phase11 For 3phase devices this object will return phase1 1 phase2 2 or phase3 3 for outlets tied to a single phase For outlets tied to two phases this object will return phase12 4 for phases 1 and 2 phase23 5 for phases 2 and 3 and phase31 6 for phases 3 and 1
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.3.5,The phases associated with this outlet For single phase devices this object will always return phase11 For 3phase devices this object will return phase1 1 phase2 2 or phase3 3 for outlets tied to a single phase For outlets tied to two phases this object will return phase12 4 for phases 1 and 2 phase23 5 for phases 2 and 3 and phase31 6 for phases 3 and 1
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.3.6,The phases associated with this outlet For single phase devices this object will always return phase11 For 3phase devices this object will return phase1 1 phase2 2 or phase3 3 for outlets tied to a single phase For outlets tied to two phases this object will return phase12 4 for phases 1 and 2 phase23 5 for phases 2 and 3 and phase31 6 for phases 3 and 1
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.3.7,The phases associated with this outlet For single phase devices this object will always return phase11 For 3phase devices this object will return phase1 1 phase2 2 or phase3 3 for outlets tied to a single phase For outlets tied to two phases this object will return phase12 4 for phases 1 and 2 phase23 5 for phases 2 and 3 and phase31 6 for phases 3 and 1
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.3.8,The phases associated with this outlet For single phase devices this object will always return phase11 For 3phase devices this object will return phase1 1 phase2 2 or phase3 3 for outlets tied to a single phase For outlets tied to two phases this object will return phase12 4 for phases 1 and 2 phase23 5 for phases 2 and 3 and phase31 6 for phases 3 and 1
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.3.9,The phases associated with this outlet For single phase devices this object will always return phase11 For 3phase devices this object will return phase1 1 phase2 2 or phase3 3 for outlets tied to a single phase For outlets tied to two phases this object will return phase12 4 for phases 1 and 2 phase23 5 for phases 2 and 3 and phase31 6 for phases 3 and 1
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.3.10,The phases associated with this outlet For single phase devices this object will always return phase11 For 3phase devices this object will return phase1 1 phase2 2 or phase3 3 for outlets tied to a single phase For outlets tied to two phases this object will return phase12 4 for phases 1 and 2 phase23 5 for phases 2 and 3 and phase31 6 for phases 3 and 1
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.3.11,The phases associated with this outlet For single phase devices this object will always return phase11 For 3phase devices this object will return phase1 1 phase2 2 or phase3 3 for outlets tied to a single phase For outlets tied to two phases this object will return phase12 4 for phases 1 and 2 phase23 5 for phases 2 and 3 and phase31 6 for phases 3 and 1
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.3.12,The phases associated with this outlet For single phase devices this object will always return phase11 For 3phase devices this object will return phase1 1 phase2 2 or phase3 3 for outlets tied to a single phase For outlets tied to two phases this object will return phase12 4 for phases 1 and 2 phase23 5 for phases 2 and 3 and phase31 6 for phases 3 and 1
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.3.13,The phases associated with this outlet For single phase devices this object will always return phase11 For 3phase devices this object will return phase1 1 phase2 2 or phase3 3 for outlets tied to a single phase For outlets tied to two phases this object will return phase12 4 for phases 1 and 2 phase23 5 for phases 2 and 3 and phase31 6 for phases 3 and 1
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.3.14,The phases associated with this outlet For single phase devices this object will always return phase11 For 3phase devices this object will return phase1 1 phase2 2 or phase3 3 for outlets tied to a single phase For outlets tied to two phases this object will return phase12 4 for phases 1 and 2 phase23 5 for phases 2 and 3 and phase31 6 for phases 3 and 1
.1.3.6.1.4.1.318.1.1.12.3.3.1.1.3.15,The phases associated with this outlet For single phase devices this object will always return phase11 For 3phase devices this object will return phase1 1 phase2 2 or phase3 3 for outlets tied to a single phase For outlets tied to two phases this object will return phase12 4 for phases 1 and 2 phase23 5 for phases 2 and 3 and phase31 6 for phases 3 and 1
